	sample1	sample2	sample3	sample4
DDX11L1	0	0	0	0
WASH7P	79	187	149	111
MIR6859-1	2	9	14	5
MIR1302-2HG	2	2	0	4
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC124903816	0	0	0	0
LOC124900384	19	15	8	12
LOC729737	119	47	58	43
LOC124903814	0	0	0	0
DDX11L17	11	20	15	2
LOC100996442	89	112	99	65
MIR6859-2	1	2	0	0
LOC127239154	0	0	0	0
LOC124903815	1	0	0	0
LOC124900618	1	1	0	0
LOC112268260	0	0	0	0
OR4F29	0	0	0	0
LOC100132287	19	6	7	7
LOC124904706	0	1	0	2
LOC105378947	0	0	0	0
LOC101928626	0	0	0	0
MIR12136	6	2	3	9
OR4F16	3	1	0	1
LOC100288069	73	132	122	60
LINC01409	77	66	89	39
LOC124903817	12	26	43	6
FAM87B	17	38	45	7
LINC00115	49	66	74	51
LINC01128	201	451	432	242
LOC107984850	1	3	1	0
FAM41C	1	1	3	1
LOC284600	20	393	439	16
LINC02593	0	180	151	0
LOC107985728	0	611	504	2
SAMD11	22	2068	1699	19
NOC2L	4742	3797	2986	6410
KLHL17	665	852	655	615
PLEKHN1	27	41	34	24
PERM1	0	3	2	0
HES4	39	794	867	38
ISG15	287	394	213	371
AGRN	7332	20413	15672	8316
LOC100288175	44	13	10	22
LOC105378948	17	49	33	5
RNF223	3	7	5	1
C1orf159	362	665	459	361
LOC124903819	0	2	2	1
LOC124903820	25	51	27	19
LINC01342	3	0	0	2
LOC124903818	71	374	359	116
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TTLL10-AS1	5	6	8	2
TTLL10	14	18	10	10
TNFRSF18	14	13	5	18
TNFRSF4	7	3	10	2
SDF4	2183	3762	2451	2506
B3GALT6	759	2263	1740	1068
C1QTNF12	57	64	67	30
UBE2J2	1491	1607	1251	1772
SCNN1D	64	256	240	59
ACAP3	784	1200	991	1022
MIR6726	0	0	0	0
SNORD167	9	6	9	7
PUSL1	927	533	446	1133
INTS11	2205	3083	2511	2700
MIR6727	0	0	0	0
CPTP	334	543	417	460
TAS1R3	160	247	189	131
DVL1	2760	2836	2320	2911
MIR6808	0	0	0	0
MXRA8	194	5921	4563	282
AURKAIP1	2478	2293	1598	3566
CCNL2	2528	5759	5468	2567
MRPL20-AS1	392	799	595	592
MRPL20	1377	1311	999	1899
MRPL20-DT	123	196	177	185
ANKRD65	30	83	57	41
ANKRD65-AS1	10	26	29	12
TMEM88B	39	36	30	55
LINC01770	44	33	23	54
LOC107985729	63	37	36	65
VWA1	989	741	425	1529
ATAD3C	15	12	5	14
ATAD3B	1983	1590	1382	3118
ATAD3A	1772	1342	1138	2717
TMEM240	61	89	78	46
SSU72	3035	2490	1855	3325
FNDC10	340	126	76	270
LOC105378586	4	0	2	4
MIB2	534	1023	822	530
LOC124903821	74	170	173	77
MMP23B	60	273	236	61
CDK11B	975	995	813	959
SLC35E2B	2030	3701	2850	2358
MMP23A	1	4	0	1
CDK11A	184	249	186	182
SLC35E2A	406	738	681	371
LOC112268218	2	2	1	2
NADK	1765	1970	1560	2051
GNB1	10807	11154	9075	10166
GNB1-DT	17	36	32	22
LOC124903822	13	15	15	6
CALML6	21	5	7	6
