	day7_rep1_wt	day7_rep2_wt	day7_rep1_mut	day7_rep2_mut
DDX11L1	0	0	0	0
WASH7P	12	13	17	12
MIR6859-1	0	0	0	0
MIR1302-2HG	0	0	0	0
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC124903816	0	0	0	0
LOC124900384	1	4	3	4
LOC729737	129	140	143	132
LOC124903814	0	0	0	0
DDX11L17	2	4	3	4
LOC100996442	7	3	14	3
MIR6859-2	0	0	0	0
LOC127239154	3	4	3	4
LOC124903815	0	0	0	0
LOC124900618	0	0	0	0
LOC112268260	0	1	0	0
OR4F29	0	0	0	0
LOC100132287	21	39	26	41
LOC124904706	0	0	0	0
LOC105378947	0	0	3	0
LOC101928626	0	0	0	0
MIR12136	0	2	0	0
OR4F16	0	2	0	2
LOC100288069	176	160	194	194
LINC01409	13	34	33	27
LOC124903817	16	18	20	42
FAM87B	17	19	17	51
LINC00115	6	3	6	11
LINC01128	680	604	537	546
LOC107984850	1	1	0	1
FAM41C	1	1	3	1
LOC284600	25	37	39	25
LINC02593	6	4	3	6
LOC107985728	38	46	40	26
SAMD11	140	186	137	134
NOC2L	148	145	199	184
KLHL17	44	34	22	36
PLEKHN1	1	4	0	2
PERM1	0	0	0	0
HES4	20	27	42	26
ISG15	25	29	63	81
AGRN	550	776	1070	1068
LOC100288175	2	0	4	4
LOC105378948	1	0	0	0
RNF223	0	1	1	1
C1orf159	68	57	64	54
LOC124903819	0	0	0	0
LOC124903820	0	1	0	0
LINC01342	0	0	0	0
LOC124903818	3	3	5	2
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TTLL10-AS1	0	0	1	2
TTLL10	0	1	1	2
TNFRSF18	1	0	0	0
TNFRSF4	0	0	0	0
SDF4	205	214	203	168
B3GALT6	374	271	344	281
C1QTNF12	10	8	10	11
UBE2J2	235	231	249	226
SCNN1D	5	11	7	3
ACAP3	52	60	34	47
MIR6726	0	0	0	0
SNORD167	0	0	0	0
PUSL1	106	96	134	121
INTS11	254	293	273	297
MIR6727	0	0	0	0
CPTP	17	27	19	19
TAS1R3	3	6	3	2
DVL1	51	60	68	71
MIR6808	0	0	0	0
MXRA8	194	247	228	198
AURKAIP1	511	436	488	394
CCNL2	1653	1464	1541	1523
MRPL20-AS1	69	71	77	67
MRPL20	621	556	556	525
MRPL20-DT	59	50	54	44
ANKRD65	1	3	10	2
ANKRD65-AS1	2	1	0	1
TMEM88B	3	2	1	4
LINC01770	2	2	2	3
LOC107985729	2	1	0	0
VWA1	27	23	46	37
ATAD3C	1	1	2	3
ATAD3B	120	127	162	176
ATAD3A	72	91	76	75
TMEM240	1	2	1	0
